sample,site,reads_total,is_indel_total,is_indel_percent,is_sub_total,is_sub_percent
36EDIT,PegOT11RH_887CD721906445FZ0Z,5028,3,0.0596658711217182,31,0.6165473349244218
36EDIT,PegOT12RH_38B6DBC28872477Z0Z,27371,0,0.0,7,0.025574513170874
36EDIT,PegOT13RH_450C52431CC8476Z0Z,9117,0,0.0,4,0.0438740813864208
36EDIT,PegOT14RH_72498897C44B411Z0Z,2786,0,0.0,0,0.0
36EDIT,PegOT15RH_C5D271FD6ABA43DZ0Z,81949,1,0.0012202711442482,21,0.025625694029212994
36EDIT,PegOT16RH_034D06511A194E9Z0Z,6074,0,0.0,1,0.016463615409944
36EDIT,PegOT17RH_EA1A967E442745AZ0Z,26679,3,0.0112447992803328,28,0.1049514599497729
36EDIT,PegOT18RH_F8A82B7EDD4C49CZ0Z,50118,6,0.011971746677839902,36,0.0718304800670405
36EDIT,PegOT19RH_CA0DB0EEDCC54A4Z0Z,6024,24,0.39840637450199157,13,0.215803452855245
36EDIT,PegOT20RH_56736BC330F2462Z0Z,22388,0,0.0,20,0.0893335715561902
36EDIT,PegOT21RH_2CF3FDAA244B414Z0Z,14880,2,0.0134408602150536,17,0.11424731182795612
36EDIT,PegOT22RH_29A50A61F0E1412Z0Z,33321,0,0.0,17,0.051018876984484096
36EDIT,PegOT23RH_B7C1378C30E94E5Z0Z,24035,2,0.0083211982525482,21,0.087372581651757
36EDIT,PegOT24RH_CE26C591030640AZ0Z,42319,2,0.0047260095937994,7,0.016541033578297903
36EDIT,PegOT25RH_6E609636E2B443BZ0Z,15019,1,0.006658232904987,23,0.15313935681470106
36EDIT,PegOT26RH_CB4A29CC056346EZ0Z,40167,1,0.0024896058953867,6,0.014937635372320299
36EDIT,PegOT27RH_EA4FC647D0AA413Z0Z,40592,9,0.022171856523452202,21,0.05173433188805569
36EDIT,PegOT28RH_21E9F9715FE84C4Z0Z,22598,0,0.0,18,0.07965306664306561
36EDIT,PegOT29RH_3B3F42EF4D05485Z0Z,29639,1,0.0033739329936907,8,0.0269914639495256
36EDIT,PegOT30RH_17861622FB1F429Z0Z,21629,0,0.0,3,0.0138702667714641
36EDIT,PegOT31RH_2471DCF94B86429Z0Z,26017,0,0.0,31,0.1191528615904963
36EDIT,PegOT32RH_0B3AE3C58D1B494Z0Z,41602,2,0.0048074611797508,50,0.12018652949377331
36EDIT,PegOT33RH_851EF8935C3A4B8Z0Z,46593,0,0.0,10,0.0214624514412033
